2024-05-04 17:39:51,251 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\deser\Downloads\apache-activemq-5.18.4\bin\win32\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-05-04 17:39:51,257 | INFO  | Starting Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\deser\Downloads\apache-activemq-5.18.4\bin\win32\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-05-04 17:39:51,280 | INFO  | Starting KahaDBStore | org.apache.activemq.store.kahadb.KahaDBStore | WrapperSimpleAppMain
2024-05-04 17:39:51,281 | INFO  | Opening MessageDatabase | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2024-05-04 17:39:51,664 | INFO  | Starting Temp Data Store | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-05-04 17:39:51,665 | INFO  | PListStore:[C:\Users\deser\Downloads\apache-activemq-5.18.4\bin\win32\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2024-05-04 17:39:51,665 | INFO  | Starting Job Scheduler Store | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-05-04 17:39:51,665 | INFO  | Persistence Adapter successfully started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-05-04 17:39:51,846 | INFO  | Apache ActiveMQ 5.18.4 (localhost, ID:LAPTOP-4UUFSJVI-63968-1714837191674-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-05-04 17:39:51,864 | INFO  | Listening for connections at: tcp://LAPTOP-4UUFSJVI:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2024-05-04 17:39:51,864 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2024-05-04 17:39:51,867 | INFO  | Listening for connections at: amqp://LAPTOP-4UUFSJVI:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
